#Designator	Center-X(Mil)	Center-Y(Mil)	Rotation	Layer	Mounting Technology	Pad-X(Mil)	Pad-Y(Mil)	Value	PackageReference	Quantity	PartNumber
R1	-450	0	270	1	1	-450	17.716	150R	0402	1	RK73H1ETTP1500F
R9	-280	70	90	1	1	-280	52.283	100K	0402	1	RK73H1ETTP1003F
R4	-295	-60	0	1	1	-312.716	-60	22R	0402	1	RK73H1ETTP22R0F
R5	-295	-95	0	1	1	-312.716	-95	22R	0402	1	RK73H1ETTP22R0F
C10	360	25	0	1	1	343.858	25	15pF	0402	1	GRM1555C1H150JA01D
C9	430	-255	180	1	1	446.142	-255	15pF	0402	1	GRM1555C1H150JA01D
C1	-565	-90	180	1	1	-548.858	-90	10uF	0402	1	GRM155R60J106ME44D
C2	-500	-90	0	1	1	-516.142	-90	10uF	0402	1	GRM155R60J106ME44D
R6	15	-350	90	1	1	15	-367.716	10K	0402	1	RK73H1ETTP1002F
R7	325	290	180	1	1	342.716	290	10K	0402	1	RK73H1ETTP1002F
C8	280	80	90	1	1	280	63.858	4.7uF	0402	1	GRM155R60J475ME47D
L1	-445	-165	90	1	1	-445	-202.402	2.2uH	0805	1	LQM21PN2R2MGHL
C11	-295	-130	0	1	1	-311.142	-130	2.2uF	0402	1	GRM155R60J225ME15D
C12	-140	295	270	1	1	-140	311.142	2.2uF	0402	1	GRM155R60J225ME15D
C3	280	-165	90	1	1	280	-181.142	2.2uF	0402	1	GRM155R60J225ME15D
C4	120	280	180	1	1	136.142	280	2.2uF	0402	1	GRM155R60J225ME15D
C5	-190	280	0	1	1	-206.142	280	2.2uF	0402	1	GRM155R60J225ME15D
C6	-280	-180	90	1	1	-280	-196.142	2.2uF	0402	1	GRM155R60J225ME15D
C7	140	-280	0	1	1	123.858	-280	2.2uF	0402	1	GRM155R60J225ME15D
R2	-70	295	90	1	1	-70	277.284	2K2	0402	1	RK73H1ETTP2201F
R3	-105	295	90	1	1	-105	277.284	2K2	0402	1	RK73H1ETTP2201F
R8	325	335	180	1	1	342.716	335	1K5	0402	1	RK73H1ETTP1501F
C13	280	0	270	1	1	280	16.142	0.1uF	0402	1	GRM155R70J104KA01D
C14	250	320	90	1	1	250	303.858	0.1uF	0402	1	GRM155R70J104KA01D
C15	586.899	707.107	45	2	1	575.485	695.693	0.1uF	0402	1	GRM155R70J104KA01D
C16	-586.899	-707.107	225	2	1	-575.485	-695.693	0.1uF	0402	1	GRM155R70J104KA01D
C17	85	-915	270	2	1	85	-898.858	0.1uF	0402	1	GRM155R70J104KA01D
C18	707.107	-586.899	315	2	1	695.693	-575.485	0.1uF	0402	1	GRM155R70J104KA01D
C19	915	85	0	2	1	898.858	85	0.1uF	0402	1	GRM155R70J104KA01D
C20	-915	-85	180	2	1	-898.858	-85	0.1uF	0402	1	GRM155R70J104KA01D
C21	-85	915	90	2	1	-85	898.858	0.1uF	0402	1	GRM155R70J104KA01D
C22	-707.107	586.899	135	2	1	-695.693	575.485	0.1uF	0402	1	GRM155R70J104KA01D
D1	-505	0	270	1	1	-505	31.496		0603	1	LTST-C193TGKT-5A
D10	802.368	536.125	123.75	2	1	819.866	509.937		0603	1	LTST-C193TBKT-5A
D11	536.125	802.368	146.25	2	1	562.313	784.87		0603	1	LTST-C193TBKT-5A
D12	188.262	946.458	168.75	2	1	219.153	940.313		0603	1	LTST-C193TBKT-5A
D13	-188.262	946.458	191.25	2	1	-157.371	952.602		0603	1	LTST-C193TBKT-5A
D14	-536.125	802.368	213.75	2	1	-509.937	819.866		0603	1	LTST-C193TBKT-5A
D15	-802.368	536.125	236.25	2	1	-784.87	562.313		0603	1	LTST-C193TBKT-5A
D16	-946.458	188.262	258.75	2	1	-940.313	219.153		0603	1	LTST-C193TBKT-5A
D17	-946.458	-188.262	281.25	2	1	-952.602	-157.371		0603	1	LTST-C193TBKT-5A
D2	-802.368	-536.125	303.75	2	1	-819.866	-509.937		0603	1	LTST-C193TBKT-5A
D3	-536.125	-802.368	326.25	2	1	-562.313	-784.87		0603	1	LTST-C193TBKT-5A
D4	-188.262	-946.458	348.75	2	1	-219.153	-940.313		0603	1	LTST-C193TBKT-5A
D5	188.262	-946.458	11.25	2	1	157.371	-952.602		0603	1	LTST-C193TBKT-5A
D6	536.125	-802.368	33.75	2	1	509.937	-819.866		0603	1	LTST-C193TBKT-5A
D7	802.368	-536.125	56.25	2	1	784.87	-562.313		0603	1	LTST-C193TBKT-5A
D8	946.458	-188.262	78.75	2	1	940.313	-219.153		0603	1	LTST-C193TBKT-5A
D9	946.458	188.262	101.25	2	1	952.602	157.371		0603	1	LTST-C193TBKT-5A
JP1	-812.409	-348.482	292.5	1	1	-763.309	-260.775		USB - Micro B	1	10118192-0001LF
Y1	395	-115	270	1	1	347.5	-33.5		2012	1	ABM3B-8.000MHZ-10-1UT
U4	275	480	180	1	1	372.441	411.102		RHB0032E	1	TLC59116IRHBR
U2	0	0	180	1	1	217.52	-147.638		LQFP64	1	STM32F405RGT6
MK1	-894.508	0	180	2	1	-843.819	-42.323			1	ICS-52000
MK2	-617.549	-617.549	225	2	1	-566.743	-626.597			1	ICS-52000
MK3	0	-894.508	270	2	1	42.323	-843.819			1	ICS-52000
MK4	617.549	-617.549	315	2	1	626.597	-566.743			1	ICS-52000
MK5	894.508	0	0	2	1	843.819	42.323			1	ICS-52000
MK6	617.549	617.549	45	2	1	566.743	626.597			1	ICS-52000
MK7	0	894.508	90	2	1	-42.323	843.819			1	ICS-52000
MK8	-617.549	617.549	135	2	1	-626.597	566.743			1	ICS-52000
BOOT	145	-375	0	1	1	64.291	-333.661		PTS810	1	PTS810 SJM 250 SMTR LFS
RESET	385	160	90	1	1	343.661	79.291		PTS810	1	PTS810 SJM 250 SMTR LFS
U1	-535	-165	180	1	1	-496.614	-190.591		WSON-6	1	TPS62291DRVR
